,id,Name,Bred_for,Origin,Image_Url
131,207,Rat Terrier,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg
132,208,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",-NONE-,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg
133,209,Rhodesian Ridgeback,"Big game hunting, guarding",-NONE-,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg
134,210,Rottweiler,"Cattle drover, guardian, draft",-NONE-,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg
135,211,Russian Toy,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg
136,212,Saint Bernard,"Draft, search, rescue",-NONE-,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png
137,213,Saluki,Coursing gazelle and hare,-NONE-,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg
138,214,Samoyed,"Herding reindeer, guardian, draft",-NONE-,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg
139,216,Schipperke,Barge watchdog,-NONE-,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg
140,218,Scottish Deerhound,Coursing deer,-NONE-,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg
141,219,Scottish Terrier,Vermin hunting,-NONE-,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg
142,221,Shetland Sheepdog,Sheep herding,-NONE-,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg
143,222,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",-NONE-,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg
144,223,Shih Tzu,Lapdog,-NONE-,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg
145,225,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",-NONE-,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg
146,226,Siberian Husky,Sled pulling,-NONE-,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg
147,228,Silky Terrier,"Small vermin hunting, companionship",-NONE-,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg
148,232,Smooth Fox Terrier,Fox bolting,-NONE-,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg
149,233,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",-NONE-,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg
150,235,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,-NONE-,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg
151,236,Spinone Italiano,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg
152,238,Staffordshire Bull Terrier,,-NONE-,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg
153,239,Standard Schnauzer,"Ratting, guarding",-NONE-,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg
154,242,Swedish Vallhund,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg
155,243,Thai Ridgeback,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg
156,244,Tibetan Mastiff,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/SkM9sec47.jpg
157,245,Tibetan Spaniel,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/Hyjcol947.jpg
158,246,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",-NONE-,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg
159,248,Toy Fox Terrier,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/B17ase9V7.jpg
160,250,Treeing Walker Coonhound,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg
161,251,Vizsla,Pointing and trailing,-NONE-,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg
162,253,Weimaraner,Large game trailing and versatile gundog,-NONE-,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg
163,254,Welsh Springer Spaniel,Flushing and retrieving birds,-NONE-,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg
164,256,West Highland White Terrier,"Fox, badger, vermin hunting",-NONE-,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg
165,257,Whippet,"Coursing, racing",-NONE-,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg
166,258,White Shepherd,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg
167,259,Wire Fox Terrier,"Vermin hunting, fox bolting",-NONE-,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg
168,260,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",-NONE-,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg
169,261,Wirehaired Vizsla,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg
170,262,Xoloitzcuintli,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg
171,264,Yorkshire Terrier,Small vermin hunting,-NONE-,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg
